Word,Group
start screen ,0
blue screen ,0
screen cover ,0
whole screen ,0
clear screen ,0
gear ,1
installation was ,2
staff was ,2
boy was ,2
packaging was ,2
salesman was ,2
pricing was ,2
download was ,2
bloatware was ,2
printer was ,2
manufacturer was ,2
husband was ,2
trackpad was ,2
touchpad was ,2
travel laptop ,3
laptop got ,3
gorgeous laptop ,3
laptop did ,3
incredible laptop ,3
laptop came ,3
mini laptop ,3
main laptop ,3
outstanding laptop ,3
budget laptop ,3
3-5 minutes ,4
5-10 seconds ,4
water ,4
phones ,4
gmail account ,4
10-15 seconds ,4
platforms ,5
friends ,5
awe ,5
ages ,5
economy ,5
pois ,5
light picture editing ,6
light photo editing ,6
very bad ,7
2-3 years ,8
digital camera ,8
front camera ,8
tool bar ,8
fn keys ,8
digital pen ,8
screens ,8
college homework ,9
student ,9
college kids ,9
college classes ,9
college assignments ,9
wall ,10
cache ,10
socket ,10
wall socket ,10
tops ,10
windows update ,11
windows based ,11
windows pro ,11
browser windows ,11
usb mouse ,12
regular usb port ,12
usb port ,12
usb keyboard ,12
regular usb ports ,12
regular usb ,12
enough usb ports ,12
exchange ,13
penny ,13
overheats ,13
l ,13
warranty service ,14
customer experience ,14
machine was ,14
customer service ,14
online service ,14
device was ,14
nice graphics ,15
great graphics ,15
good graphics ,15
decent graphics ,15
beautiful graphics ,15
amazing graphics ,15
excellent graphics ,15
good idea ,16
good touchpad ,16
good fit ,16
mostly good ,16
reasonably good ,16
good balance ,16
good set ,16
keyboard did ,17
virtual keyboard ,17
keyboard buttons ,17
soft keyboard ,17
backlit keyboard ,17
numeric keyboard ,17
separate keyboard ,17
lower priced ,18
2-3 months ,18
moderately priced ,18
aluminum body ,18
higher priced ,18
similarly priced ,18
metal body ,18
homeschooling ,19
interaction ,19
performing ,19
programmed ,19
pad ,20
key ,20
key pad ,20
home key ,20
fully compatible ,21
cool feature ,21
dark side ,21
noisy fan ,21
highly disappointed ,21
cool thing ,21
highly satisfied ,21
ink ,22
accessibility ,22
block ,23
schedule ,23
internet com ,24
home internet ,24
internet usage ,24
internet was ,24
internet e ,24
internet browser ,24
convenience ,25
habit ,25
forecast ,25
battery replacement ,26
battery left ,26
battery capacity ,26
battery stopped ,26
battery had ,26
defective battery ,26
replacement battery ,26
battery problems ,26
not plugged ,27
not exceptional ,27
