Word,Group
usb sticks ,0
usb stick ,0
usb plug ,0
usb slots ,0
ports ,0
usb connections ,0
usb adaptor ,0
usb hub ,0
usb dongle ,0
usb type ,0
usb a ,0
usb inputs ,0
standard usb ,0
eyes ,1
90s ,1
writing ,1
bug ,1
bracket ,1
máquina ,1
adaptor ,1
new machine ,2
new laptops ,2
design programs ,2
new programs ,2
internet work ,2
software programs ,2
good reviews ,2
design work ,2
light work ,2
new product ,2
premium feel ,3
premium look ,3
touchscreen option ,3
finger tips ,3
serious gamer ,3
2-3 months ,3
typing errors ,3
back plate ,3
sales people ,3
file explorer ,3
sales rep ,3
water damage ,3
hardcore gamer ,3
relatively inexpensive ,3
classes ,3
repair shop ,3
type c ,3
file ,3
genius bar ,3
sales associate ,3
incorrect item ,3
application ,4
pin ,4
motherboard ,4
accessories ,4
destination ,4
dud ,4
contents ,4
obligation ,4
vendors ,4
children ,4
pinhole ,4
faults ,4
bottom right ,5
cd slot ,5
ssd ,5
usbc port ,5
port options ,5
side ,5
charging port ,5
bottom side ,5
bottom ,5
next laptop ,6
laptop broke ,6
specific laptop ,6
current laptop ,6
laptop last ,6
midrange laptop ,6
laptop replaced ,6
last laptop ,6
laptop lid ,6
looking laptop ,6
standard laptop ,6
laptop went ,6
non-gaming laptop ,6
only laptop ,6
as sharp ,7
quite expensive ,7
quite annoying ,7
super excited ,7
super pleased ,7
too short ,7
as capable ,7
pretty neat ,7
pretty snappy ,7
pretty pleased ,7
super fancy ,7
too noisy ,7
pretty sweet ,7
pretty warm ,7
notebook arrived ,7
wonderful notebook ,7
quite responsive ,7
too dark ,7
pretty durable ,7
crashed ,8
clicks ,8
geek ,8
position ,8
priority ,8
minimal bloatware ,8
font ,8
capabilities ,8
row ,8
appearance ,8
geek squad ,8
lazer ,8
facility ,8
bloatware ,8
squad ,8
64bit ,9
mercy ,9
baixar ,9
accent ,9
television ,9
multitude ,9
complexity ,9
coating ,9
conector ,9
qualities ,9
compromises ,9
diferença ,9
contact ,9
ratings ,9
hps ,9
distros ,9
freezes ,9
holidays ,9
easily transportable ,10
easily upgradeable ,10
well protected ,10
easily converted ,10
easily fixed ,10
ótimo ,10
well constructed ,10
right hand corner ,10
black finish ,10
right angle ,10
well balanced ,10
easily accessible ,10
well packed ,10
easily accomplished ,10
easily able ,10
well equipped ,10
easily transported ,10
great fit ,11
great looking ,11
great equipment ,11
great prices ,11
regular price ,11
great deals ,11
great decision ,11
truly great ,11
all great ,11
great idea ,11
great combination ,11
school project ,12
school works ,12
graduate school ,12
nursing school ,12
middle school ,12
school age ,12
medical school ,12
daughter ,12
school related ,12
school district ,12
school projects ,12
grad school ,12
great screen quality ,13
usb ,13
computer games ,13
school computer ,13
price ,13
other computer ,13
fast computer ,13
new computer ,13
computer was ,13
usb keyboard ,13
computer use ,13
laptop performance ,13
sub ,14
compute ,14
sounds ,14
drawback ,14
brainer ,14
standby ,14
magazines ,14
struggle ,14
irritation ,14
scan ,14
informado ,14
ventilation ,14
stats ,15
coworker ,15
head ,15
rapidez ,15
throughput ,15
boss ,15
malfunction ,15
som ,15
carry ,15
planet ,15
aquisição ,15
workflow ,15
hitch ,15
detail ,15
re- ,15
gift ,16
body ,16
major problems ,16
rate ,16
tv ,16
fun ,16
rubber ,16
graduation gift ,16
graduation ,16
music ,16
soft keyboard ,17
backlight keyboard ,17
full-size keyboard ,17
numeric keyboard ,17
virtual keyboard ,17
backlit keyboard ,17
keyboard attached ,17
keyboard lights ,17
keyboard stopped ,17
keyboard lighting ,17
keyboard took ,17
lit keyboard ,17
keyboard dock ,17
replacement power ,17
keyboard backlight ,17
basic functions ,18
demanding games ,18
current games ,18
big files ,18
contemporary games ,18
big fan ,18
running games ,18
basic stuff ,18
e dvd ,18
steam games ,18
plays games ,18
favorite color ,18
blue color ,18
basic activities ,18
display driver ,19
display size ,19
display brightness ,19
perfect size ,19
beautiful display ,19
display settings ,19
storage size ,19
super happy ,20
pretty bad ,20
super annoying ,20
extremely responsive ,20
extremely happy ,20
also super ,20
quite loud ,20
extremely bright ,20
pretty happy ,20
super bright ,20
pretty responsive ,20
super smooth ,20
super sensitive ,20
pretty annoying ,20
super responsive ,20
as small ,21
pretty ,21
really heavy ,21
as high ,21
extremely heavy ,21
pretty small ,21
extremely nice ,21
so nice ,21
pretty high ,21
so heavy ,21
pretty basic ,21
really nice ,21
minor complaint ,22
minor complaints ,22
dvd burner ,22
family ,22
entire family ,22
minor inconvenience ,22
whole family ,22
package ,22
whole package ,22
package arrived ,22
minor annoyance ,22
voice commands ,23
versatile ,23
complete waste ,23
music production ,23
rubber strips ,23
garage band ,23
sale ,23
refresh rate ,23
mini ,23
i3 ,23
rubber feet ,23
productivity ,23
barely audible ,23
protection plan ,23
site ,23
music recording ,23
complete trash ,23
fix ,23
wi-fi adapter ,24
data ,24
flash ,24
expansion slot ,24
ethernet adapter ,24
customer care ,24
m2 slot ,24
drives ,24
wireless connectivity ,24
overheating issues ,24
heating issues ,24
pen ,24
flash drives ,24
freezing issues ,24
reset button ,24
shipping label ,24
wife loved ,24
bike ,25
break ,25
caixa ,25
negatives ,25
mails ,25
newbie ,25
resistance ,25
skins ,25
blessing ,25
force ,25
still slow ,26
kinda slow ,26
terribly slow ,26
painfully slow ,26
somewhat slow ,26
slow response ,26
runs slow ,26
of slow ,26
unbelievably slow ,26
unbearably slow ,26
ridiculously slow ,26
amazing display ,27
same price ,27
color display ,27
excellent display ,27
decent price ,27
light video editing ,27
nice display ,27
display ,27
flexibility ,28
debris ,28
sell ,28
nuisance ,28
carcaça ,28
4th ,28
disaster ,28
temp ,28
bill ,28
sharpness ,28
press ,28
flight ,28
always great ,29
great setup ,29
great resolution ,29
great piece ,29
great choice ,29
great picture ,29
great thing ,29
games such ,30
playing games ,30
intensive programs ,30
intense games ,30
inch laptops ,30
play games ,30
runs games ,30
3d games ,30
modern games ,30
color saturation ,31
purple color ,31
os ,31
color calibration ,31
low resolution ,31
student ,31
color gamut ,31
grey color ,31
color accuracy ,31
pro version ,31
first purchase ,31
color reproduction ,31
desktop version ,31
shipping ,31
color scheme ,31
low rating ,31
first unit ,31
notification ,32
offer ,32
clients ,32
construção ,32
placa ,32
schoolwork ,32
ship ,32
dvds ,32
sleekness ,32
fairly large ,33
pentium processor ,33
large number ,33
i3 processor ,33
i9 processor ,33
quad processor ,33
arm processor ,33
large monitor ,33
é o ,34
physical store ,34
shipping box ,34
update ,34
open box item ,34
browser tabs ,34
play store ,34
update process ,34
updates needed ,34
return shipping ,34
bios updates ,34
o hardware ,34
slow computer ,35
high performance laptop ,35
very simple ,35
simple laptop ,35
very quick ,35
very loud ,35
very beautiful ,35
big laptop ,35
great notebook ,35
very long ,35
very powerful ,35
not fast ,35
very decent ,35
very big ,35
very friendly ,36
very weak ,36
perfect notebook ,36
very vibrant ,36
very dirty ,36
very awkward ,36
very robust ,36
very fragile ,36
so amazing ,36
very crisp ,36
very flexible ,36
very excited ,36
little notebook ,36
very strong ,36
very reasonable ,36
very slick ,36
web development ,37
web site ,37
web sites ,37
surf web ,37
web searches ,37
web cam ,37
web developer ,37
web browsers ,37
web pages ,37
complaint ,38
strain ,38
stereo ,38
eye strain ,38
bonus ,38
gmail ,38
bluetooth ,38
worth buying ,38
eye ,38
replaceable battery ,39
battery drain ,39
long-lasting battery ,39
hour battery ,39
battery saver ,39
battery charges ,39
battery cycle ,39
battery did ,39
battery went ,39
killer battery ,39
battery lasted ,39
all-day battery ,39
battery last ,39
battery pack ,39
durable battery ,39
battery died ,39
battery icon ,39
battery backup ,39
battery meter ,39
plastics ,40
patch ,40
digitizer ,40
stock ,40
car ,40
situations ,40
weave ,40
pains ,40
illustrator ,40
ano ,40
aunt ,40
respeito ,40
retina ,40
